,Result,p_value,Sen_Slope,Latitude,Longitude
JA36,increasing,0.0006979347174365103,0.3248610761764716,33.625,75.125
JA37,increasing,2.4776226805744983e-06,0.390404468441558,33.625,75.375
JA38,increasing,4.38226143217868e-06,0.6237946098846161,33.875,73.625
JA39,increasing,2.1747300613439435e-05,0.5444745428653841,33.875,73.875
JA4,increasing,5.551115123125783e-15,0.44580727305633794,31.875,72.125
JA40,increasing,0.0029557146843735005,0.35883396204761875,33.875,74.125
JA41,increasing,0.010444457452439382,0.2617918656666666,33.875,74.375
JA42,increasing,0.028640370629606338,0.21507512319230726,33.875,74.625
JA43,increasing,0.0326679109007717,0.233060020033333,33.875,74.875
JA44,increasing,0.004487993775241339,0.27075339750000005,33.875,75.125
JA45,increasing,0.0038846050158998224,0.24971366570588233,33.875,75.375
JA46,increasing,0.0001865150053921294,0.5728305063055557,34.125,73.625
JA47,increasing,0.0005356850591804463,0.5245874091739129,34.125,73.875
JA48,increasing,0.0029557146843735005,0.3949421215116295,34.125,74.125
JA49,increasing,0.00831149668369835,0.33711005235714303,34.125,74.375
JA5,increasing,1.7763568394002505e-15,0.4862628542790702,31.875,72.375
JA50,increasing,0.013292562046484324,0.30352211103225857,34.125,74.625
JA51,increasing,0.020392199947055323,0.28703317313157956,34.125,74.875
JA52,increasing,0.007692492544883356,0.28763137369999897,34.125,75.125
JA53,increasing,0.014040104090057959,0.24704040616666673,34.125,75.375
JA54,increasing,0.000926319907119888,0.5103209043750008,34.375,73.375
JA55,increasing,0.0023332756070459926,0.45418101599995,34.375,73.625
JA56,increasing,0.004049005950248263,0.41340183287755045,34.375,73.875
JA57,increasing,0.01064248222010411,0.3188211127647052,34.375,74.125
JA58,increasing,0.02223147590906982,0.2692388326818176,34.375,74.375
JA59,increasing,0.035998365130720744,0.24573955692856636,34.375,74.625
JA6,increasing,4.738991499220191e-07,0.2559205754468087,32.125,72.125
JA60,no trend,0.050792350492091076,0.21837913245454543,34.375,74.875
JA61,increasing,0.04561292335651723,0.2092824580983607,34.375,75.125
JA62,increasing,0.016509957836738698,0.32587575129545404,34.625,73.375
JA63,increasing,0.02185248752307989,0.2950232021132073,34.625,73.625
JA64,increasing,0.02340293628966017,0.28933971311110834,34.625,73.875
JA65,increasing,0.042192091980567614,0.2493009573472218,34.625,74.125
JA66,no trend,0.07346734652362907,0.2173758756612905,34.625,74.375
JA67,no trend,0.10521716598483555,0.1773097314999997,34.625,74.625
JA68,no trend,0.131294402832987,0.14618782777049222,34.625,74.875
JA69,no trend,0.10521716598483555,0.15547945466666677,34.625,75.125
JA7,increasing,1.34781075189494e-13,0.5288456034705881,32.125,72.375
JA70,no trend,0.11692547693769573,0.1942870350930229,34.875,73.625
JA71,no trend,0.11094943345272501,0.19018169123809492,34.875,73.875
JA72,no trend,0.10949375324921995,0.19858188699999763,34.875,74.125
JA73,no trend,0.1346661494511916,0.17678279467213054,34.875,74.375
JA74,no trend,0.19812540817468172,0.12846921384848567,34.875,74.625
JA8,increasing,3.175237850427948e-14,0.583384184928571,32.125,72.625
JA9,increasing,1.8245387275905856e-05,0.22954892761290308,32.375,71.875
