,Result,p_value,Sen_Slope,Latitude,Longitude
JA35,no trend,0.33691248449113465,-0.06947172875000009,33.625,74.875
JA36,no trend,0.3570042844368846,0.11245637233333323,33.625,75.125
JA37,no trend,0.46040676662009394,0.07125392561643842,33.625,75.375
JA38,no trend,0.1346661494511916,0.2347480509736851,33.875,73.625
JA39,no trend,0.1525372486357086,0.23163288304166763,33.875,73.875
JA4,no trend,0.8548677196076668,-0.004030326096385532,31.875,72.125
JA40,no trend,0.20504335986379996,0.15989086559036125,33.875,74.125
JA41,no trend,0.22186448911914525,0.14225301363414558,33.875,74.375
JA42,no trend,0.27818662969155894,0.1380493554761904,33.875,74.625
JA43,no trend,0.34020965107023105,0.11842038287671221,33.875,74.875
JA44,no trend,0.2810920495236813,0.12634215200000107,33.875,75.125
JA45,no trend,0.34686579090286296,0.0814527529230773,33.875,75.375
JA46,no trend,0.26676980622137325,0.18074991570370372,34.125,73.625
JA47,no trend,0.28696449803017954,0.1655603475892859,34.125,73.875
JA48,no trend,0.31441007361471063,0.12982715159375058,34.125,74.125
JA49,no trend,0.28696449803017954,0.11933373838297863,34.125,74.375
JA5,no trend,0.8908858504571115,-0.0035194618787878387,31.875,72.375
JA50,no trend,0.33691248449113465,0.11370921908955245,34.125,74.625
JA51,no trend,0.27243729421435336,0.10912289169354815,34.125,74.875
JA52,no trend,0.33038001720192245,0.08549611559999827,34.125,75.125
JA53,no trend,0.4104509821812212,0.07021328742424235,34.125,75.375
JA54,no trend,0.18916917085994633,0.20964626332000022,34.375,73.375
JA55,no trend,0.22186448911914525,0.2114609254339627,34.375,73.625
JA56,no trend,0.2121352738459965,0.18994137070666664,34.375,73.875
JA57,no trend,0.22186448911914525,0.1632039558799994,34.375,74.125
JA58,no trend,0.20738792192285693,0.15446377512499984,34.375,74.375
JA59,no trend,0.17011519402174224,0.14994900372602743,34.375,74.625
JA6,no trend,0.6058049636014406,0.014040554346938718,32.125,72.125
JA60,no trend,0.18916917085994633,0.1310498174999998,34.375,74.875
JA61,no trend,0.5435016407371722,-0.05452274590625006,34.375,75.125
JA62,no trend,0.1215711693652588,0.27118697679069753,34.625,73.375
JA63,no trend,0.1329720027781378,0.24803018781132086,34.625,73.625
JA64,no trend,0.11390659903444544,0.21710839426562578,34.625,73.875
JA65,no trend,0.11540827620099736,0.211441056458333,34.625,74.125
JA66,no trend,0.09445913250850246,0.2088171327162162,34.625,74.375
JA67,no trend,0.08942081584712103,0.19178433704761894,34.625,74.625
JA68,no trend,0.0997224831296577,0.16117376960655733,34.625,74.875
JA69,no trend,0.7340883589874165,-0.022292860611110674,34.625,75.125
JA7,no trend,0.6288060065543357,0.015988117783132524,32.125,72.375
JA70,no trend,0.06263489741231609,0.24850046439999957,34.875,73.625
JA71,no trend,0.06171930060523634,0.22516690890476201,34.875,73.875
JA72,no trend,0.08460120354238931,0.22000273472580634,34.875,74.125
JA73,no trend,0.07346734652362907,0.20730010231506893,34.875,74.375
JA74,no trend,0.0703711779996643,0.18386661300000004,34.875,74.625
JA8,no trend,0.6103749910099117,0.015063474744186059,32.125,72.625
JA9,no trend,0.9167561676800968,0.0030746173285714005,32.375,71.875
