,Result,p_value,Sen_Slope,Latitude,Longitude
CA1,no trend,0.27243729421435336,0.06238243788461572,31.375,72.375
CA10,increasing,0.020040708267546448,0.290066591558823,32.125,73.125
CA11,increasing,0.025907418950376515,0.2939610589999989,32.125,73.375
CA12,increasing,0.03110406895447615,0.27907275166216255,32.125,73.625
CA13,increasing,0.03837601983762973,0.31104607294444186,32.375,73.125
CA14,increasing,0.04851520725733227,0.2884154036935494,32.375,73.375
CA15,no trend,0.05992133053310744,0.281748325999979,32.375,73.625
CA16,no trend,0.09445913250850246,0.2500548714918027,32.375,73.875
CA17,no trend,0.19360926213407925,0.18071523961702105,32.375,74.125
CA18,increasing,0.0001513315149741512,0.5462124664328347,32.375,77.375
CA19,no trend,0.10662771628256973,0.2676631761818226,32.625,73.625
CA2,no trend,0.17011519402174224,0.07401509821739068,31.375,72.625
CA20,no trend,0.30200579151403484,0.13730382575000005,32.625,73.875
CA21,no trend,0.6711172015767364,-0.06156189314815261,32.625,74.125
CA22,no trend,0.20504335986379996,0.21144173408333464,32.625,74.375
CA23,no trend,0.1469959909079832,0.2098857474814819,32.625,74.625
CA24,no trend,0.12798847972762917,0.23879467478571875,32.625,74.875
CA25,increasing,0.0030192232016252873,0.40878106538461295,32.625,76.625
CA26,increasing,0.0005760453906025198,0.45618434435294164,32.625,76.875
CA27,increasing,2.3050524146306373e-05,0.6324844681780831,32.625,77.125
CA28,increasing,2.815602325068056e-06,0.6297175961666627,32.625,77.375
CA29,no trend,0.5876800716188082,-0.08283887006896862,32.875,74.125
CA3,no trend,0.21453817981249435,0.07340899942372864,31.625,72.625
CA30,no trend,0.7047714661372089,-0.05626304949999986,32.875,74.375
CA31,no trend,0.8293199201033761,-0.04059991092857018,32.875,74.625
CA32,no trend,0.9323225727094373,-0.016299761224138072,32.875,74.875
CA33,no trend,0.09706228402956363,0.2509772222407407,32.875,75.125
CA34,no trend,0.10107422131441779,0.28370425395121746,32.875,75.375
CA35,increasing,0.001874107152358917,0.44927681699997873,32.875,76.625
CA36,increasing,6.752263603693187e-05,0.5267091473285709,32.875,76.875
CA37,increasing,7.358057623196856e-07,0.7198704268095228,32.875,77.125
CA38,no trend,0.97394356220259,0.00781314782051222,33.125,74.125
CA39,no trend,0.9531170831237272,0.014442024087719873,33.125,74.375
CA4,increasing,0.011902273962431709,0.18659766881818418,31.625,72.875
CA40,no trend,0.8191495404290792,0.04057756976923143,33.125,74.625
