,Result,p_value,Sen_Slope,Latitude,Longitude
CA1,no trend,0.20271812771495945,-0.13060806813636236,31.375,72.375
CA10,no trend,0.8497450689186736,0.0381223100000012,32.125,73.125
CA11,no trend,0.9479149054901386,-0.01368969755357138,32.125,73.375
CA12,no trend,0.6663609397971804,-0.092071960658536,32.125,73.625
CA13,no trend,0.231909254633071,-0.2555605455312504,32.375,73.125
CA14,no trend,0.8395189845255586,-0.03795353437037205,32.375,73.375
CA15,no trend,0.5435016407371722,-0.1437419402978719,32.375,73.625
CA16,no trend,0.4764356422370606,0.263408737093024,32.375,73.875
CA17,no trend,0.31441007361471063,0.4071797925882412,32.375,74.125
CA18,no trend,0.647471297281029,0.06808895790909085,32.375,77.375
CA19,no trend,0.46438547360254745,0.2346963782857157,32.625,73.625
CA2,no trend,0.2529577197118551,-0.12287171335294052,31.375,72.625
CA20,no trend,0.4845633017753719,0.2757142343823522,32.625,73.875
CA21,no trend,0.29291921234771934,0.4678173938906247,32.625,74.125
CA22,no trend,0.2529577197118551,0.5146955218333295,32.625,74.375
CA23,no trend,0.3175627629318982,0.5406634840769245,32.625,74.625
CA24,no trend,0.19585779548258442,0.6396340931358038,32.625,74.875
CA25,no trend,0.942714947357608,0.010161291583346591,32.625,76.625
CA26,no trend,0.6758866746215018,0.049233812312503566,32.625,76.875
CA27,no trend,0.08227142841987534,-0.20528111968674728,32.625,77.125
CA28,no trend,0.596711192909563,0.05767484451922956,32.625,77.375
CA29,no trend,0.33691248449113465,0.3931710335000007,32.875,74.125
CA3,no trend,0.42546840188080903,-0.09829264472727317,31.625,72.625
CA30,no trend,0.27818662969155894,0.4264893640208373,32.875,74.375
CA31,no trend,0.2810920495236813,0.45061185097222356,32.875,74.625
CA32,no trend,0.23447012799473588,0.541820698631579,32.875,74.875
CA33,no trend,0.42927228043634824,0.31478821957142916,32.875,75.125
CA34,no trend,0.7439499542061394,0.08237553742857204,32.875,75.375
CA35,no trend,0.9791535155529236,0.004641328333333898,32.875,76.625
CA36,no trend,0.6334507461210421,0.04207311569230836,32.875,76.875
CA37,no trend,0.8242310411795755,0.01996827968749937,32.875,77.125
CA38,no trend,0.20975187370248527,-0.36145510246153706,33.125,74.125
CA39,no trend,0.37431181950691506,-0.2636385984634139,33.125,74.375
CA4,no trend,0.5698101445925301,-0.08316620420454512,31.625,72.875
CA40,no trend,0.7144976511104018,0.16643646917391478,33.125,74.625
CA41,no trend,0.5876800716188082,0.2029293915833329,33.125,74.875
CA42,no trend,0.937517429582533,0.02219534972340398,33.125,75.125
CA43,no trend,0.8395189845255586,0.03994963531343345,33.125,75.375
CA44,no trend,0.9895758681841262,0.0027038042463751162,33.125,75.625
CA45,no trend,1.0,0.0009593314062512626,33.125,75.875
CA46,no trend,0.9271305969428951,0.013829248999999384,33.125,76.125
CA47,no trend,0.9895758681841262,0.002316239958332744,33.125,76.375
CA48,no trend,0.9323225727094373,0.013624446972222475,33.125,76.625
CA49,no trend,0.7588209476738816,-0.02745301325000149,33.375,74.375
CA5,no trend,0.7687851237135528,-0.03745819490909112,31.875,72.625
CA50,no trend,0.6758866746215018,0.17079887490625456,33.375,74.625
CA51,no trend,0.6663609397971804,0.1690207171562501,33.375,74.875
CA52,no trend,0.5787126989279754,0.19221750786363598,33.375,75.125
CA53,no trend,1.0,0.002790547738093724,33.375,75.625
CA54,no trend,0.937517429582533,-0.010852578777773816,33.375,75.875
CA55,no trend,0.9012216145508047,-0.01888730649315114,33.375,76.125
CA56,no trend,0.9167561676800968,-0.010148423396550999,33.375,76.375
CA57,no trend,0.9012216145508047,-0.010008431404254465,33.375,76.625
CA58,no trend,0.9583212591182415,-0.0024704326250006405,33.625,75.625
CA59,no trend,0.9895758681841262,0.00466631136363603,33.625,75.875
CA6,no trend,0.9219417221195312,-0.018905117807692527,31.875,72.875
CA60,no trend,0.9167561676800968,-0.011886106291139368,33.625,76.125
CA61,no trend,0.8395189845255586,0.01775023716666624,33.875,75.625
CA62,no trend,0.8599964948596188,-0.015499341106665648,33.875,75.875
CA63,no trend,0.7888269359616704,-0.020103997602941556,33.875,76.125
CA64,no trend,0.8599964948596188,0.015032380129629477,34.125,75.625
CA7,no trend,0.8857248009122696,-0.02402775888235537,31.875,73.125
CA8,no trend,0.7144976511104018,-0.07609472215789251,31.875,73.375
CA9,no trend,0.8090094958194332,0.04659074989230896,32.125,72.875
JA1,no trend,0.2840179991954108,-0.11362838719999928,31.375,72.125
JA10,no trend,0.4804901073607688,-0.1081771350999972,32.375,72.125
JA11,no trend,0.5348684572467961,-0.10059906286956524,32.375,72.375
JA12,no trend,0.6711172015767364,-0.06824234603076976,32.375,72.625
JA13,no trend,0.6381099775334442,-0.10297675516667108,32.375,72.875
JA14,no trend,0.39939743144247863,-0.18145859695945926,32.625,72.625
JA15,no trend,0.37431181950691506,-0.1877638128113205,32.625,72.875
JA16,no trend,0.2810920495236813,-0.21743856702127573,32.625,73.125
JA17,no trend,0.17629978655143907,-0.29065606628571944,32.625,73.375
JA18,no trend,0.20738792192285693,-0.286748954000001,32.875,72.875
JA19,no trend,0.2268472230146299,-0.29040798401470624,32.875,73.125
JA2,no trend,0.4564471994000885,-0.08485089837837734,31.625,72.125
JA20,no trend,0.1469959909079832,-0.33251738719999974,32.875,73.375
JA21,no trend,0.22936830209830417,-0.46452202155999883,32.875,73.625
JA22,no trend,0.15067276863655876,-0.3626906412708326,33.125,73.125
JA23,decreasing,0.0006653955780400178,-1.1671471178518475,33.125,73.375
JA24,decreasing,0.0006192226089174468,-1.2659514663999913,33.125,73.625
JA25,decreasing,0.001141108275116487,-1.2725971067613613,33.125,73.875
JA26,no trend,0.09065964382730218,-0.4374051171212159,33.375,73.375
JA27,no trend,0.18265046019018039,-0.5419766410606075,33.375,73.625
JA28,no trend,0.19585779548258442,-0.5365808734749976,33.375,73.875
JA29,no trend,0.4485857865669447,-0.30716184241999483,33.375,74.125
JA3,no trend,0.4030618933771355,-0.1040954388958341,31.625,72.375
JA30,no trend,0.22186448911914525,-0.49419698289090713,33.625,73.625
JA31,no trend,0.2611839540853258,-0.4031829249999994,33.625,73.875
JA32,no trend,0.5391763913207026,-0.20808170337499732,33.625,74.125
JA33,no trend,0.5876800716188082,-0.1718934118636355,33.625,74.375
JA34,no trend,0.6241759113472618,-0.15798587084313845,33.625,74.625
JA35,no trend,0.6568887116561766,-0.15147033055714262,33.625,74.875
JA36,no trend,0.6334507461210421,-0.16624404450000216,33.625,75.125
JA37,no trend,0.36386591137481306,-0.13037805849999984,33.625,75.375
JA38,no trend,0.20041216451615984,-0.45945443028571864,33.875,73.625
JA39,no trend,0.25567950156083086,-0.36351579519718347,33.875,73.875
JA4,no trend,0.6711172015767364,-0.06929720081249924,31.875,72.125
JA40,no trend,0.5653835004727277,-0.16071047639682562,33.875,74.125
JA41,no trend,0.6999262952602803,-0.117419038058833,33.875,74.375
JA42,no trend,0.7787876418937418,-0.07625523939130552,33.875,74.625
JA43,no trend,0.7242704329818537,-0.09709068637499954,33.875,74.875
JA44,no trend,0.3050758992169964,-0.15692286274510006,33.875,75.125
JA45,no trend,0.36042484949103626,-0.10943997504545454,33.875,75.375
JA46,no trend,0.08112620125567771,-0.4069716855230778,34.125,73.625
JA47,no trend,0.25567950156083086,-0.3682902743235258,34.125,73.875
JA48,no trend,0.26676980622137325,-0.2162713333235264,34.125,74.125
JA49,no trend,0.33691248449113465,-0.18283078599999944,34.125,74.375
JA5,no trend,0.7096286440968449,-0.06506633824999852,31.875,72.375
JA50,no trend,0.28696449803017954,-0.1413647895862041,34.125,74.625
JA51,no trend,0.36386591137481306,-0.10629282496078567,34.125,74.875
JA52,no trend,0.5010415803912662,-0.08030342119512117,34.125,75.125
JA53,no trend,0.6058049636014406,-0.05009906022641477,34.125,75.375
JA54,decreasing,0.02340293628966017,-0.4627652381698108,34.375,73.375
JA55,no trend,0.06449979872976108,-0.35841424185714243,34.375,73.625
JA56,no trend,0.32714473469112715,-0.2639700277948713,34.375,73.875
JA57,no trend,0.33363593653213774,-0.20607948599999926,34.375,74.125
JA58,no trend,0.30200579151403484,-0.16605184999999878,34.375,74.375
JA59,no trend,0.31441007361471063,-0.14021053109433845,34.375,74.625
JA6,no trend,0.652173072073502,-0.0685452680800004,32.125,72.125
JA60,no trend,0.3081666451173595,-0.11273461594117644,34.375,74.875
JA61,no trend,0.6854645833465938,-0.05730038944000171,34.375,75.125
JA62,no trend,0.2529577197118551,-0.28718427078313274,34.625,73.375
JA63,no trend,0.3175627629318982,-0.23369815520833212,34.625,73.625
JA64,no trend,0.32714473469112715,-0.19692668186666348,34.625,73.875
JA65,no trend,0.25842156858564413,-0.16268440403614517,34.625,74.125
JA66,no trend,0.21696064785977365,-0.1411996221739123,34.625,74.375
JA67,no trend,0.97394356220259,0.004367104806451406,34.625,74.625
JA68,no trend,0.8140756236832407,0.03195846038889075,34.625,74.875
JA69,no trend,0.9012216145508047,-0.015379619086958918,34.625,75.125
JA7,no trend,0.7242704329818537,-0.04737885733333006,32.125,72.375
JA70,no trend,0.9167561676800968,-0.028349207569445097,34.875,73.625
JA71,no trend,0.9271305969428951,0.01284568471428571,34.875,73.875
JA72,no trend,0.8497450689186736,0.026879868933333738,34.875,74.125
JA73,no trend,0.7291738446387364,0.039898692044117216,34.875,74.375
JA74,no trend,0.6758866746215018,0.033676115551722854,34.875,74.625
JA8,no trend,0.9219417221195312,-0.0112817927575732,32.125,72.625
JA9,no trend,0.31127803517322516,-0.15333885831666738,32.375,71.875
