,Result,p_value,Sen_Slope,Latitude,Longitude
CA1,decreasing,0.02185248752307989,-0.3979304717272718,31.375,72.375
CA10,no trend,0.6854645833465938,-0.10414069651428852,32.125,73.125
CA11,no trend,0.6149602554103335,-0.13100010118918626,32.125,73.375
CA12,no trend,0.23965182000858376,-0.410682384166664,32.125,73.625
CA13,no trend,0.06641029175403834,-0.6609291162452833,32.375,73.125
CA14,no trend,0.647471297281029,-0.13076971608928797,32.375,73.375
CA15,no trend,0.24491373014443707,-0.4343128985185221,32.375,73.625
CA16,no trend,0.7096286440968449,-0.18946427181249703,32.375,73.875
CA17,no trend,0.7687851237135528,0.1697301260694467,32.375,74.125
CA18,no trend,0.1525372486357086,0.37917818658571323,32.375,77.375
CA19,no trend,0.8242310411795755,-0.10432719433332185,32.625,73.625
CA2,decreasing,0.02960491701982182,-0.3920470161388876,31.375,72.625
CA20,no trend,0.6334507461210421,-0.19618921659459398,32.625,73.875
CA21,no trend,0.6806691915346033,0.2348933712777763,32.625,74.125
CA22,no trend,0.6854645833465938,0.2227520944499948,32.625,74.375
CA23,no trend,0.5742532537655707,0.27195060835526574,32.625,74.625
CA24,no trend,0.5135924310420528,0.3835944961136332,32.625,74.875
CA25,no trend,0.27243729421435336,0.32156061775510136,32.625,76.625
CA26,no trend,0.231909254633071,0.2632655425227261,32.625,76.875
CA27,no trend,0.937517429582533,0.02093210371428508,32.625,77.125
CA28,no trend,0.15441923498599786,0.2700784248313248,32.625,77.375
CA29,no trend,0.7193783077047342,0.238667193794112,32.875,74.125
CA3,no trend,0.05992133053310744,-0.31843019388135546,31.625,72.625
CA30,no trend,0.6195606112850294,0.26460290802631903,32.875,74.375
CA31,no trend,0.5478440897802175,0.35718062772130893,32.875,74.625
CA32,no trend,0.37080942413610574,0.438387387441861,32.875,74.875
CA33,no trend,0.4968943697781887,0.3760433788850634,32.875,75.125
CA34,no trend,0.3957530867262691,0.3631402448202216,32.875,75.375
CA35,no trend,0.2959274583017606,0.2351398485394746,32.875,76.625
