,Result,p_value,Sen_Slope,Latitude,Longitude
CA1,no trend,0.6099979618746088,0.05693255802205885,31.375,72.375
CA10,no trend,0.45597179082236305,0.19121630789583324,32.125,73.125
CA11,no trend,0.4881961566987405,0.23748261141176474,32.125,73.375
CA12,no trend,0.45597179082236305,0.28706395144202934,32.125,73.625
CA13,no trend,0.5387479615505166,0.18905402146250005,32.375,73.125
CA14,no trend,0.5216102816326904,0.24592822925735225,32.375,73.375
CA15,no trend,0.45597179082236305,0.2935443149271737,32.375,73.625
CA16,no trend,0.42497974024989427,0.35205034129644297,32.375,73.875
CA17,no trend,0.4719324011649344,0.30566533748351643,32.375,74.125
CA18,no trend,1.0,0.0010644735710529838,32.375,77.375
CA19,no trend,0.556163415969644,0.28110960992028977,32.625,73.625
CA2,no trend,0.38087509602077274,0.06832655434821434,31.375,72.625
CA20,no trend,0.8444667630816367,0.13190461240000015,32.625,73.875
CA21,no trend,0.5216102816326904,0.1934698473438913,32.625,74.125
CA22,no trend,0.31389928595925776,0.3774925740333337,32.625,74.375
CA23,no trend,0.38087509602077274,0.3571653520185182,32.625,74.625
CA24,no trend,0.38087509602077274,0.3265001430854701,32.625,74.875
CA25,no trend,0.556163415969644,0.13916453415873056,32.625,76.625
CA26,no trend,0.5387479615505166,0.14993512333095235,32.625,76.875
CA27,no trend,0.9895648601306644,0.0009581600473472616,32.625,77.125
CA28,no trend,0.9895648601306644,-0.0025730131609844947,32.625,77.375
CA29,no trend,0.504757480200261,0.1985575827105278,32.875,74.125
CA3,no trend,0.26626505196565464,0.12480220770142858,31.625,72.625
CA30,no trend,0.40995687995177965,0.2275749597063637,32.875,74.375
CA31,no trend,0.38087509602077274,0.2749111894801868,32.875,74.625
CA32,no trend,0.2776793977764225,0.2720806433200007,32.875,74.875
CA33,no trend,0.7044743405984466,0.08771422328333447,32.875,75.125
CA34,no trend,0.947859977968412,0.04852288780000134,32.875,75.375
CA35,no trend,0.24441573431054664,0.2873804102348483,32.875,76.625
CA36,no trend,0.504757480200261,0.180053555458334,32.875,76.875
CA37,no trend,0.9270538559329629,0.046070415802632214,32.875,77.125
CA38,no trend,0.4719324011649344,0.24808876264015034,33.125,74.125
CA39,no trend,0.38087509602077274,0.3100396497017047,33.125,74.375
CA4,no trend,0.9895648601306644,0.010561276126249922,31.625,72.875
CA40,no trend,0.3530961293655652,0.359242823491596,33.125,74.625
CA41,no trend,0.26626505196565464,0.34057170832411765,33.125,74.875
CA42,no trend,0.40995687995177965,0.30997271768571366,33.125,75.125
CA43,no trend,0.9687017187842499,0.012032085444443128,33.125,75.375
CA44,no trend,0.7635561283061163,-0.08859416769848444,33.125,75.625
CA45,no trend,0.5387479615505166,-0.2600168391249986,33.125,75.875
CA46,no trend,0.2045653965108014,0.32448641528125,33.125,76.125
CA47,no trend,0.21405445881002816,0.31327673125000016,33.125,76.375
CA48,no trend,0.14656951458927425,0.30213455173958315,33.125,76.625
CA49,no trend,0.556163415969644,0.21976307288779917,33.375,74.375
CA5,no trend,0.8037485428824773,0.05599688471848733,31.875,72.625
CA50,no trend,0.7044743405984466,0.19348846230285802,33.375,74.625
CA51,no trend,0.7835801504291398,0.20819611408444383,33.375,74.875
CA52,no trend,0.4403193881279295,0.3824013484188592,33.375,75.125
CA53,no trend,1.0,-0.00245948403333396,33.375,75.625
CA54,no trend,0.9270538559329629,-0.045313644529545435,33.375,75.875
CA55,no trend,0.685150206155831,-0.20743665241666745,33.375,76.125
CA56,no trend,0.14656951458927425,0.5080612844727266,33.375,76.375
CA57,no trend,0.15398439966393096,0.4948206539144737,33.375,76.625
CA58,no trend,0.15398439966393096,0.546403229776315,33.625,75.625
CA59,no trend,0.8856049474550873,-0.055465657335000244,33.625,75.875
CA6,no trend,0.8444667630816367,0.06032199001049473,31.875,72.875
CA60,no trend,0.6660299201417486,-0.17346531027450865,33.625,76.125
CA61,no trend,0.0774547606082352,0.6949304741111189,33.875,75.625
CA62,no trend,0.8240484528174716,-0.08873866367424263,33.875,75.875
CA63,no trend,0.8649901175825423,0.059857471832416555,33.875,76.125
CA64,no trend,0.054530865275567386,0.7348171169686268,34.125,75.625
CA7,no trend,0.8856049474550873,0.024882688902595547,31.875,73.125
CA8,no trend,0.685150206155831,0.06647578644852986,31.875,73.375
CA9,no trend,0.8444667630816367,0.08959911151388894,32.125,72.875
JA1,no trend,0.6284436367082953,0.046880351590659314,31.375,72.125
JA10,no trend,0.8856049474550873,0.051153305719779635,32.375,72.125
JA11,no trend,0.8037485428824773,0.050559300223215135,32.375,72.375
JA12,no trend,0.5917967492239535,0.10271929529647486,32.375,72.625
JA13,no trend,0.9270538559329629,0.04879856131597286,32.375,72.875
JA14,no trend,0.947859977968412,0.04938361770833399,32.625,72.625
JA15,no trend,0.9687017187842499,0.010727201090909008,32.625,72.875
JA16,no trend,0.7044743405984466,0.253561492071429,32.625,73.125
JA17,no trend,0.5738490427115428,0.2738014658239145,32.625,73.375
JA18,no trend,0.8856049474550873,-0.07794999268333408,32.875,72.875
JA19,no trend,0.8037485428824773,0.1973956923110866,32.875,73.125
JA2,no trend,0.5917967492239535,0.06100561960631577,31.625,72.125
JA20,no trend,0.5917967492239535,0.21604475612428603,32.875,73.375
JA21,no trend,0.504757480200261,0.17731875729047608,32.875,73.625
JA22,no trend,0.6660299201417486,0.18244645063130394,33.125,73.125
JA23,no trend,0.504757480200261,0.26412370709310373,33.125,73.375
JA24,no trend,0.45597179082236305,0.2767905265157562,33.125,73.625
JA25,no trend,0.45597179082236305,0.32290348873949715,33.125,73.875
JA26,no trend,0.45597179082236305,0.23347409134999886,33.375,73.375
JA27,no trend,0.42497974024989427,0.3323773076654134,33.375,73.625
JA28,no trend,0.6284436367082953,0.37683897396087107,33.375,73.875
JA29,no trend,0.685150206155831,0.23426360329629728,33.375,74.125
JA3,no trend,0.36682169288264443,0.08704677042499982,31.625,72.375
JA30,no trend,0.7044743405984466,0.3842823651470636,33.625,73.625
JA31,no trend,0.6660299201417486,0.45049291124999513,33.625,73.875
JA32,no trend,0.6660299201417486,0.26459734104751237,33.625,74.125
JA33,no trend,0.8649901175825423,0.19448195883928643,33.625,74.375
JA34,no trend,0.7635561283061163,0.21714543392222185,33.625,74.625
JA35,no trend,0.4881961566987405,0.38074961004048513,33.625,74.875
JA36,no trend,0.9895648601306644,0.026699497725000042,33.625,75.125
JA37,no trend,0.947859977968412,0.01342304530370355,33.625,75.375
JA38,no trend,0.685150206155831,0.3744359362759746,33.875,73.625
JA39,no trend,0.685150206155831,0.3557751303474029,33.875,73.875
JA4,no trend,0.7044743405984466,0.0707036834912586,31.875,72.125
JA40,no trend,0.7635561283061163,0.2000250774857122,33.875,74.125
JA41,no trend,0.8037485428824773,0.18708371090392245,33.875,74.375
JA42,no trend,0.8444667630816367,0.07000483478120367,33.875,74.625
JA43,no trend,0.8649901175825423,0.10770314581428458,33.875,74.875
JA44,no trend,1.0,0.010090925327383284,33.875,75.125
JA45,no trend,0.9687017187842499,-0.022135928992855824,33.875,75.375
JA46,no trend,0.9687017187842499,-0.08619265337884613,34.125,73.625
JA47,no trend,0.9062974979468705,-0.03570818633741132,34.125,73.875
JA48,no trend,0.947859977968412,0.07325426119655201,34.125,74.125
JA49,no trend,1.0,-0.0008229768766258243,34.125,74.375
JA5,no trend,0.4403193881279295,0.09770664561842077,31.875,72.375
JA50,no trend,0.8649901175825423,-0.11639805200526275,34.125,74.625
JA51,no trend,0.7239911390149285,-0.1285706852391305,34.125,74.875
JA52,no trend,0.8444667630816367,0.05868300555681814,34.125,75.125
JA53,no trend,0.9895648601306644,-0.023159294811110384,34.125,75.375
JA54,no trend,0.9062974979468705,-0.15988058752631917,34.375,73.375
JA55,no trend,0.9895648601306644,-0.0232688002777766,34.375,73.625
JA56,no trend,0.9687017187842499,-0.0842091709572208,34.375,73.875
JA57,no trend,0.7635561283061163,0.20395308077290508,34.375,74.125
JA58,no trend,0.9687017187842499,0.011637059391306282,34.375,74.375
JA59,no trend,0.9062974979468705,-0.04523844029473953,34.375,74.625
JA6,no trend,0.947859977968412,0.016423554680701807,32.125,72.125
JA60,no trend,0.7436890405792607,-0.18467253293772998,34.375,74.875
JA61,no trend,0.42497974024989427,0.3730676857701539,34.375,75.125
JA62,no trend,0.9895648601306644,0.020351876713339247,34.625,73.375
JA63,no trend,1.0,0.0019062391614284432,34.625,73.625
JA64,no trend,0.9687017187842499,0.020300145800002056,34.625,73.875
JA65,no trend,0.8444667630816367,0.1422719093977279,34.625,74.125
JA66,no trend,0.947859977968412,0.04454837858223751,34.625,74.375
JA67,no trend,0.9062974979468705,-0.04565885998684076,34.625,74.625
JA68,no trend,0.9062974979468705,-0.0836414632951946,34.625,74.875
JA69,no trend,0.4881961566987405,0.3180487742000003,34.625,75.125
JA7,no trend,0.8444667630816367,0.033223572112500106,32.125,72.375
JA70,no trend,0.8856049474550873,0.09236616341904758,34.875,73.625
JA71,no trend,0.947859977968412,0.00738828420357149,34.875,73.875
JA72,no trend,0.7436890405792607,0.12036418171176319,34.875,74.125
JA73,no trend,0.9895648601306644,0.017367482222223205,34.875,74.375
JA74,no trend,0.9895648601306644,0.002445988375001981,34.875,74.625
JA8,no trend,0.6660299201417486,0.05726351684393936,32.125,72.625
JA9,no trend,0.7835801504291398,0.06777923770000242,32.375,71.875
