,Result,p_value,Sen_Slope,Latitude,Longitude
CA1,no trend,0.08365644321423482,0.23173745404102558,31.375,72.375
CA10,no trend,0.3759635132769805,0.33786532615972165,32.125,73.125
CA11,no trend,0.24695545939811314,0.49436096941666596,32.125,73.375
CA12,no trend,0.16063112444447003,0.6114007215000115,32.125,73.625
CA13,no trend,0.4060445067036338,0.3065450016290331,32.375,73.125
CA14,no trend,0.33350230153390603,0.3930666937037035,32.375,73.375
CA15,no trend,0.43751817737481247,0.27995270263636324,32.375,73.625
CA16,no trend,0.1956706219250084,0.6540346688409113,32.375,73.875
CA17,no trend,0.20524714408164568,0.6393192844675308,32.375,74.125
CA18,no trend,0.8168835068089899,0.07125165220238108,32.375,77.375
CA19,no trend,0.294266104304963,0.3333955637177032,32.625,73.625
CA2,no trend,0.470351418087696,0.11864637071785716,31.375,72.625
CA20,no trend,0.2582511905140965,0.4033818348181814,32.625,73.875
CA21,no trend,0.294266104304963,0.6575095637210588,32.625,74.125
CA22,no trend,0.24695545939811314,0.6477316149833329,32.625,74.375
CA23,no trend,0.186425775893321,0.6257047666830018,32.625,74.625
CA24,no trend,0.16063112444447003,0.7223633007415966,32.625,74.875
CA25,no trend,0.6928385117296678,0.14297601818518527,32.625,76.625
CA26,no trend,0.9024333200095813,0.083020431941176,32.625,76.875
CA27,no trend,0.9457024715498787,0.03989405278116895,32.625,77.125
CA28,no trend,0.9891324349096959,0.014246105694852625,32.625,77.375
CA29,no trend,0.3200645361580008,0.6157717561953435,32.875,74.125
CA3,no trend,0.1689113395241173,0.2225010326776316,31.625,72.625
CA30,no trend,0.30698585474987405,0.5726239584000015,32.875,74.375
CA31,no trend,0.22541303195972806,0.5932835192019231,32.875,74.625
CA32,no trend,0.13055440660892748,0.7317858429378001,32.875,74.875
CA33,no trend,0.3200645361580008,0.6333122632000012,32.875,75.125
CA34,no trend,0.22541303195972806,0.5890312875447044,32.875,75.375
CA35,no trend,0.967405367717791,0.02919290489880997,32.875,76.625
CA36,no trend,0.8808988697656468,0.020789556940473932,32.875,76.875
CA37,no trend,0.9891324349096959,-0.013536682357142348,32.875,77.125
CA38,no trend,0.3472987680371582,0.48595282604514023,33.125,74.125
CA39,no trend,0.5045014597713458,0.4024241572515537,33.125,74.375
CA4,no trend,0.186425775893321,0.23103103854244478,31.625,72.875
CA40,no trend,0.539915857350804,0.249542613258334,33.125,74.625
CA41,no trend,0.6335534753768335,0.3026397809604111,33.125,74.875
CA42,no trend,0.5045014597713458,0.3306402227267201,33.125,75.125
CA43,no trend,0.43751817737481247,0.41954499447826,33.125,75.375
CA44,no trend,0.43751817737481247,0.3443749512595278,33.125,75.625
CA45,no trend,0.470351418087696,0.3728769159285718,33.125,75.875
CA46,no trend,0.9891324349096959,0.05181412036630067,33.125,76.125
CA47,no trend,0.5580781774416292,-0.14911974656547725,33.125,76.375
CA48,no trend,0.36145300334070685,-0.18198182449230776,33.125,76.625
CA49,no trend,0.9024333200095813,-0.02558099804480319,33.375,74.375
CA5,no trend,0.23601041334390294,0.20871976130193254,31.875,72.625
CA50,no trend,0.795791881562907,-0.09417333479861029,33.375,74.625
CA51,no trend,0.6142802922561135,-0.19983461148533815,33.375,74.875
CA52,no trend,0.5045014597713458,-0.49610000198095205,33.375,75.125
CA53,no trend,0.7130491088889688,0.26442285374652674,33.375,75.625
CA54,no trend,0.5580781774416292,0.3160131907617299,33.375,75.875
CA55,no trend,0.3908282308519908,0.28021074875161534,33.375,76.125
CA56,no trend,0.6928385117296678,-0.15756825236666894,33.375,76.375
CA57,no trend,0.43751817737481247,-0.22130111904166538,33.375,76.625
CA58,no trend,0.23601041334390294,-0.26702570861110875,33.625,75.625
CA59,no trend,0.6728442148625922,0.11694123736111095,33.625,75.875
CA6,no trend,0.24695545939811314,0.21617540823717935,31.875,72.875
CA60,no trend,0.4872648904642325,-0.36923568373684196,33.625,76.125
CA61,no trend,0.3759635132769805,-0.3922757357173909,33.875,75.625
CA62,no trend,0.30698585474987405,-0.5213258209549688,33.875,75.875
CA63,no trend,0.294266104304963,-0.49283517169260027,33.875,76.125
CA64,no trend,0.22541303195972806,-0.5099921265202028,34.125,75.625
CA7,no trend,0.1956706219250084,0.31460519816250027,31.875,73.125
CA8,no trend,0.16063112444447003,0.3904130277500002,31.875,73.375
CA9,no trend,0.22541303195972806,0.34269761913157926,32.125,72.875
JA1,no trend,0.12376498707129491,0.2124880342156511,31.375,72.125
JA10,no trend,0.6142802922561135,-0.10925161677020201,32.375,72.125
JA11,no trend,0.7540675143570155,-0.0630984997393163,32.375,72.375
JA12,no trend,0.30698585474987405,0.28566980359663885,32.375,72.625
JA13,no trend,0.2582511905140965,0.39805136687857123,32.375,72.875
JA14,no trend,0.9457024715498787,-0.016550939803570967,32.625,72.625
JA15,no trend,0.967405367717791,-0.02821503813461615,32.625,72.875
JA16,no trend,0.43751817737481247,0.31879002428124964,32.625,73.125
JA17,no trend,0.43751817737481247,0.17399292460504184,32.625,73.375
JA18,no trend,0.9240398006814219,-0.04769131827556969,32.875,72.875
JA19,no trend,0.6530785762864473,0.1821143784196433,32.875,73.125
JA2,no trend,0.22541303195972806,0.16601785906481473,31.625,72.125
JA20,no trend,0.4060445067036338,0.20932055371428573,32.875,73.375
JA21,no trend,0.2819046108192158,0.2335321931923069,32.875,73.625
JA22,no trend,0.30698585474987405,0.36106861899999965,33.125,73.125
JA23,no trend,0.23601041334390294,0.5291406368906233,33.125,73.375
JA24,no trend,0.3472987680371582,0.3340506683958324,33.125,73.625
JA25,no trend,0.22541303195972806,0.560345292565216,33.125,73.875
JA26,no trend,0.26990019525158404,0.54697897065624,33.375,73.375
JA27,no trend,0.20524714408164568,0.628400370285713,33.375,73.625
JA28,no trend,0.15266138035243015,1.1152717729484087,33.375,73.875
JA29,no trend,0.3759635132769805,0.3796306610076195,33.375,74.125
JA3,no trend,0.186425775893321,0.22390556033333367,31.625,72.375
JA30,no trend,0.9240398006814219,-0.154618371353002,33.625,73.625
JA31,no trend,0.9024333200095813,-0.16013799132347498,33.625,73.875
JA32,no trend,0.6142802922561135,-0.4548235004732129,33.625,74.125
JA33,no trend,0.5220542678768723,0.30249386636217046,33.625,74.375
JA34,no trend,0.7130491088889688,0.16929022614999917,33.625,74.625
JA35,no trend,0.795791881562907,0.17511561619411925,33.625,74.875
JA36,no trend,0.294266104304963,-0.6228776610571422,33.625,75.125
JA37,no trend,1.0,-0.003131102111112938,33.625,75.375
JA38,no trend,0.6728442148625922,-0.4130789450793064,33.875,73.625
JA39,no trend,0.7334631920155024,-0.4239549772914973,33.875,73.875
JA4,no trend,0.3472987680371582,0.1532725298494617,31.875,72.125
JA40,no trend,0.5045014597713458,-0.6180459662352931,33.875,74.125
JA41,no trend,0.5952698888863501,-0.31032392335336456,33.875,74.375
JA42,no trend,0.42160910107579896,-0.37933647123809533,33.875,74.625
JA43,no trend,0.20524714408164568,-0.7785494956874972,33.875,74.875
JA44,no trend,0.23601041334390294,-0.7764414735069445,33.875,75.125
JA45,no trend,0.186425775893321,-0.748465335680705,33.875,75.375
JA46,no trend,0.23601041334390294,-0.9698820834222233,34.125,73.625
JA47,no trend,0.20524714408164568,-1.0413058712084657,34.125,73.875
JA48,no trend,0.33350230153390603,-0.6867118819523816,34.125,74.125
JA49,no trend,0.26990019525158404,-0.7615923135817313,34.125,74.375
JA5,no trend,0.30698585474987405,0.17568431606315826,31.875,72.375
JA50,no trend,0.3200645361580008,-0.7653128334615377,34.125,74.625
JA51,no trend,0.3200645361580008,-0.6844163239154386,34.125,74.875
JA52,no trend,0.09386166319420308,-0.7982305795123155,34.125,75.125
JA53,no trend,0.06203262229447826,-0.8242342373382323,34.125,75.375
JA54,no trend,0.3200645361580008,-0.8804574907142901,34.375,73.375
JA55,no trend,0.21515988319619161,-0.9326257806666614,34.375,73.625
JA56,no trend,0.186425775893321,-0.9882159879276322,34.375,73.875
JA57,no trend,0.3200645361580008,-0.7618993545000015,34.375,74.125
JA58,no trend,0.2582511905140965,-0.7321123283124984,34.375,74.375
JA59,no trend,0.24695545939811314,-0.7125850024583331,34.375,74.625
JA6,no trend,0.43751817737481247,-0.1031970522579361,32.125,72.125
JA60,no trend,0.21515988319619161,-0.6951626146251866,34.375,74.875
JA61,no trend,0.09386166319420308,-0.8236690071224997,34.375,75.125
JA62,no trend,0.2582511905140965,-0.8951132798399766,34.625,73.375
JA63,no trend,0.21515988319619161,-0.8141638978124988,34.625,73.625
JA64,no trend,0.21515988319619161,-0.8138685879202585,34.625,73.875
JA65,no trend,0.2819046108192158,-0.6604349959579855,34.625,74.125
JA66,no trend,0.22541303195972806,-0.6871811776597838,34.625,74.375
JA67,no trend,0.186425775893321,-0.7008694133321465,34.625,74.625
JA68,no trend,0.16063112444447003,-0.7541397056862731,34.625,74.875
JA69,no trend,0.10504200372059169,-0.8123497712030807,34.625,75.125
JA7,no trend,0.3472987680371582,0.26342117038345914,32.125,72.375
JA70,no trend,0.23601041334390294,-0.6609057779583292,34.875,73.625
JA71,no trend,0.23601041334390294,-0.6210836661138472,34.875,73.875
JA72,no trend,0.2582511905140965,-0.4746751343484833,34.875,74.125
JA73,no trend,0.2582511905140965,-0.5699636092720584,34.875,74.375
JA74,no trend,0.1956706219250084,-0.5775336499230759,34.875,74.625
JA8,no trend,0.23601041334390294,0.2697852464242423,32.125,72.625
JA9,no trend,0.83810858978553,-0.03417925475000234,32.375,71.875
