,Result,p_value,Sen_Slope,Latitude,Longitude
CA1,increasing,1.7445556110828875e-10,0.5669698138985507,31.375,72.375
CA10,increasing,2.710248492299172e-08,0.8908454675774645,32.125,73.125
CA11,increasing,6.5961087702959276e-09,1.0016434593076942,32.125,73.375
CA12,increasing,2.5584689922197867e-09,1.1470670159999992,32.125,73.625
CA13,increasing,2.163537793364867e-08,0.949804978680001,32.375,73.125
CA14,increasing,1.0100111635935605e-08,1.0663287566666664,32.375,73.375
CA15,increasing,3.248164006652843e-07,1.0262715733424674,32.375,73.625
CA16,increasing,2.094018070053494e-09,1.2785586329117653,32.375,73.875
CA17,increasing,3.03094296549844e-07,1.0633164088611113,32.375,74.125
CA18,increasing,1.7945024595178438e-06,0.6950837185000012,32.375,77.375
CA19,increasing,3.7285755705163126e-07,1.0606579447999933,32.625,73.625
CA2,increasing,3.137739115199878e-07,0.41860698976190475,31.375,72.625
CA20,increasing,1.0520906146282982e-07,1.181804999351353,32.625,73.875
CA21,increasing,1.3822414497433044e-06,1.050707826222227,32.625,74.125
CA22,increasing,6.217709664912974e-07,1.1337122610222214,32.625,74.375
CA23,increasing,2.6378006645622065e-07,1.167370104909091,32.625,74.625
CA24,increasing,1.1714763936687689e-07,1.1746773607499996,32.625,74.875
CA25,increasing,4.521554914482806e-06,0.795558613263159,32.625,76.625
CA26,increasing,1.4404195156192401e-05,0.626482551333334,32.625,76.875
CA27,increasing,3.165393596793464e-05,0.5558002514249996,32.625,77.125
CA28,increasing,4.97691522280963e-05,0.46347706049999987,32.625,77.375
CA29,increasing,1.204327546355799e-05,0.9883396832666662,32.875,74.125
CA3,increasing,6.418916509431938e-10,0.6549198757283954,31.625,72.625
CA30,increasing,9.181797282042936e-06,1.0053235042978734,32.875,74.375
CA31,increasing,7.194347172667648e-06,0.9915634185735309,32.875,74.625
CA32,increasing,1.853675042795544e-06,0.9639097269411787,32.875,74.875
CA33,increasing,3.406746400980154e-06,0.9627338933333344,32.875,75.125
CA34,increasing,2.042654779321751e-06,0.945628936611111,32.875,75.375
CA35,increasing,7.743994419362465e-05,0.5439617486037743,32.875,76.625
CA36,increasing,0.0003893930038536553,0.39333544074509874,32.875,76.875
CA37,increasing,0.0010648651532647602,0.36102685394029893,32.875,77.125
